time,price
0:00:00,100.7095172
0:00:01,101.2323196
0:00:02,101.3608968
0:00:03,100.7908292
0:00:04,100.2443961
0:00:05,100.2858919
0:00:06,100.5330298
0:00:07,100.7200506
0:00:08,100.7521102
0:00:09,100.7283975
0:00:10,101.000307
0:00:11,101.8196009
0:00:12,102.1716081
0:00:13,103.3114824
0:00:14,103.396227
0:00:15,104.5341709
0:00:16,103.250451
0:00:17,103.9196473
0:00:18,104.2681251
0:00:19,105.9164026
0:00:20,105.0963174
0:00:21,105.2424722
0:00:22,107.2250707
0:00:23,107.5715027
0:00:24,108.0633028
0:00:25,109.885838
0:00:26,110.0096981
0:00:27,110.6480946
0:00:28,111.2998204
0:00:29,111.2623113
0:00:30,112.2907732
0:00:31,113.0751196
0:00:32,112.6771677
0:00:33,111.5374775
0:00:34,111.7379628
0:00:35,112.6597613
0:00:36,113.2321251
0:00:37,113.1619658
0:00:38,112.4651914
0:00:39,112.8795365
0:00:40,112.6680074
0:00:41,109.8772457
0:00:42,110.3225884
0:00:43,109.5245455
0:00:44,109.8929088
0:00:45,110.6530539
0:00:46,110.4396983
0:00:47,111.2574792
0:00:48,110.6736915
0:00:49,111.0256387
0:00:50,110.3706336
0:00:51,109.0446485
0:00:52,108.0012926
0:00:53,106.8328114
0:00:54,107.2944972
0:00:55,105.8760479
0:00:56,105.661007
0:00:57,104.5649612
0:00:58,104.2492654
0:00:59,104.8838364
0:01:00,105.2640018
0:01:01,104.8854704
0:01:02,104.4425876
0:01:03,105.0047834
0:01:04,103.7116547
0:01:05,104.7004781
0:01:06,104.3539515
0:01:07,104.8434364
0:01:08,105.379511
0:01:09,103.799171
0:01:10,103.4510072
0:01:11,103.8864169
0:01:12,102.6275048
0:01:13,103.2279563
0:01:14,103.1906925
0:01:15,103.366953
0:01:16,103.9056212
0:01:17,104.4786087
0:01:18,103.3576599
0:01:19,104.5182245
0:01:20,103.2408912
0:01:21,105.0404824
0:01:22,104.4704702
0:01:23,103.9422574
0:01:24,104.3852713
0:01:25,104.9584495
0:01:26,107.0824308
0:01:27,105.743287
0:01:28,107.1340352
0:01:29,107.0851419
0:01:30,108.2796948
0:01:31,108.5411355
0:01:32,109.1058061
0:01:33,107.5326668
0:01:34,108.7389675
0:01:35,108.9005536
0:01:36,108.9514109
0:01:37,110.2743014
0:01:38,108.2686253
0:01:39,107.8815879
0:01:40,107.1428385
0:01:41,107.6705888
0:01:42,105.2332488
0:01:43,106.2401265
0:01:44,105.0774247
0:01:45,103.9614222
0:01:46,102.9691648
0:01:47,102.5107059
0:01:48,103.5882045
0:01:49,103.6969366
0:01:50,102.2356512
0:01:51,102.6434655
0:01:52,102.4089276
0:01:53,102.3353229
0:01:54,100.3935115
0:01:55,98.88935234
0:01:56,98.6704691
0:01:57,98.48501605
0:01:58,99.7606181
0:01:59,101.194535
0:02:00,101.1712441
0:02:01,102.1600923
0:02:02,101.6866489
0:02:03,103.0796101
0:02:04,104.8295482
0:02:05,105.0601389
0:02:06,104.9071382
0:02:07,104.0210159
0:02:08,103.8866769
0:02:09,103.827866
0:02:10,103.6054077
0:02:11,104.2027381
0:02:12,104.6926705
0:02:13,104.9099098
0:02:14,104.8331489
0:02:15,104.4689006
0:02:16,105.3134915
0:02:17,105.9165075
0:02:18,105.7304238
0:02:19,104.722116
0:02:20,105.6236086
0:02:21,106.1983279
0:02:22,104.9274053
0:02:23,105.1589538
0:02:24,102.6233686
0:02:25,103.3998194
0:02:26,102.3336845
0:02:27,101.8766179
0:02:28,102.040349
0:02:29,100.8674804
0:02:30,100.0276009
0:02:31,100.846543
0:02:32,99.22060473
0:02:33,98.33261553
0:02:34,98.16250942
0:02:35,98.82269912
0:02:36,98.10670147
0:02:37,98.95156333
0:02:38,99.32179753
0:02:39,99.0697623
0:02:40,99.24510451
0:02:41,98.16713024
0:02:42,98.87339109
0:02:43,97.2598954
0:02:44,97.82920955
0:02:45,97.4580757
0:02:46,97.75673486
